		brA	brB	ngA	ngB	reB	reC
N recovery	Total N [% N]	37.58013076430945	70.23384100683967	52.52415192233487	52.52415192233487	71.445128995118	71.445128995118
P recovery	Total P [% P]	64.68979999999998	47.374161917555234	37.331992674069895	37.331992674069895	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	67.35540000000003	72.52000000000002	22.63208972107396	22.63208972107396	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	11.330516574600603	23.897613728066474	76.96132652799402	75.23929772524635	43.728316466755295	47.80534251192157
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	34.51046288869073	0.2161694489780457	82.11252522146069	93.98121917549652	166.9653993086945	124.51488165219449
LCA results	H_Ecosystems [points/cap/yr]	-0.05414812423151939	0.042611859466956586	0.1541094396941573	0.19169564469036576	-0.23441641213503706	-0.3674142114576441
LCA results	H_Health [points/cap/yr]	12.857945853644866	1.0415768737012547	14.582149706400934	15.3385596118844	35.52752295372058	33.407074761628444
LCA results	H_Resources [points/cap/yr]	-0.5452181918842033	2.1939104408183825	8.960957624518487	9.444131249299623	-1.9435282304231016	-3.4630441808624
