		brA	brB
N recovery	Total N [% N]	37.58013076430945	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	4.149582064574116	9.501753412483714
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	23.00609419104297	-0.11863628048992117
LCA results	H_Ecosystems [points/cap/yr]	-0.02267075191386635	0.02397258176977804
LCA results	H_Health [points/cap/yr]	9.044172740502532	0.32363045707726906
LCA results	H_Resources [points/cap/yr]	-0.30838106821339933	1.1589516765346326
