	Input x	Input y	KS-d	p-value
261	('LCA', 'Concrete  non carcinogenics  CF [kg toluen./m3]')	Alternative B	1.0	1.0825088224469026e-05
262	('LCA', 'Concrete  I  agricultural land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
263	('LCA', 'Concrete  H  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
264	('LCA', 'Concrete  ecotoxicity  CF [kg 2,4-D-./m3]')	Alternative B	1.0	1.0825088224469026e-05
265	('LCA', 'Concrete  ozone depletion  CF [kg CFC-11./m3]')	Alternative B	1.0	1.0825088224469026e-05
266	('LCA', 'Concrete  H  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
267	('LCA', 'Concrete  I  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
268	('LCA', 'Concrete  H  marine ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
269	('LCA', 'Concrete  H  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
270	('LCA', 'Concrete  I  natural land transformation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
271	('LCA', 'Concrete  respiratory effects average  CF [kg PM2.5-./m3]')	Alternative B	0.9	0.00021650176448938054
272	('LCA', 'Concrete  E  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
273	('LCA', 'Concrete  E  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
274	('LCA', 'Concrete  I  human toxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
275	('LCA', 'Concrete  E  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
276	('LCA', 'Concrete  H  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
277	('LCA', 'Concrete  I  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
278	('LCA', 'Concrete  I  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
279	('LCA', 'Concrete  E  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
280	('LCA', 'Concrete  I  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
281	('LCA', 'Concrete  H  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
282	('LCA', 'Concrete  H  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
283	('LCA', 'Concrete  I  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
284	('LCA', 'Concrete  I  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
285	('LCA', 'Concrete  H  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
286	('LCA', 'Concrete  I  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
287	('LCA', 'Concrete  E  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
288	('LCA', 'Concrete  H  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
289	('LCA', 'Concrete  I  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
290	('LCA', 'Concrete  H  agricultural land occupation  CF [points/m3]')	Alternative B	0.9	0.00021650176448938054
291	('LCA', 'Concrete  I  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
292	('LCA', 'Concrete  I  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
293	('LCA', 'Concrete  E  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
294	('LCA', 'Concrete  H  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
295	('LCA', 'Concrete  E  natural land transformation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
296	('LCA', 'Concrete  I  marine ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
297	('LCA', 'Concrete  H  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
298	('LCA', 'Concrete  carcinogenics  CF [kg benzen./m3]')	Alternative B	0.9	0.00021650176448938054
299	('LCA', 'Concrete  H  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
300	('LCA', 'Concrete  global warming  CF [kg CO2-Eq/m3]')	Alternative B	1.0	1.0825088224469026e-05
301	('LCA', 'Concrete  E  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
302	('LCA', 'Concrete  I  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
303	('LCA', 'Concrete  I  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
304	('LCA', 'Concrete  E  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
305	('LCA', 'Concrete  H  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
306	('LCA', 'Concrete  E  human toxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
307	('LCA', 'Concrete  I  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
308	('LCA', 'Concrete  E  agricultural land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
309	('LCA', 'Concrete  I  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
310	('LCA', 'Concrete  H  natural land transformation  CF [points/m3]')	Alternative B	0.9	0.00021650176448938054
311	('LCA', 'Concrete  E  marine ecotoxicity  CF [points/m3]')	Alternative B	0.9	0.00021650176448938054
312	('LCA', 'Concrete  E  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
313	('LCA', 'Concrete  acidification  CF [moles of ./m3]')	Alternative B	1.0	1.0825088224469026e-05
314	('LCA', 'Concrete  eutrophication  CF [kg N/m3]')	Alternative B	1.0	1.0825088224469026e-05
315	('LCA', 'Concrete  I  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
316	('LCA', 'Concrete  E  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
317	('LCA', 'Concrete  H  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
318	('LCA', 'Concrete  E  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
319	('LCA', 'Concrete  E  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
320	('LCA', 'Concrete  H  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
321	('LCA', 'Concrete  E  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
322	('LCA', 'Concrete  photochemical oxidation  CF [kg NOx-Eq/m3]')	Alternative B	0.8	0.002056766762649115
323	('LCA', 'Concrete  E  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
324	('LCA', 'Excavation  H  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
325	('LCA', 'Excavation  E  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
326	('LCA', 'Excavation  H  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
327	('LCA', 'Excavation  I  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
328	('LCA', 'Excavation  H  human toxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
329	('LCA', 'Excavation  E  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
330	('LCA', 'Excavation  I  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
331	('LCA', 'Excavation  E  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
332	('LCA', 'Excavation  H  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
333	('LCA', 'Excavation  non carcinogenics  CF [kg toluen./m3]')	Alternative B	0.6	0.05244755244755244
334	('LCA', 'Excavation  I  agricultural land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
335	('LCA', 'Excavation  H  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
336	('LCA', 'Excavation  ecotoxicity  CF [kg 2,4-D-./m3]')	Alternative B	1.0	1.0825088224469026e-05
337	('LCA', 'Excavation  ozone depletion  CF [kg CFC-11./m3]')	Alternative B	1.0	1.0825088224469026e-05
338	('LCA', 'Excavation  H  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
339	('LCA', 'Excavation  I  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
340	('LCA', 'Excavation  H  marine ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
341	('LCA', 'Excavation  H  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
342	('LCA', 'Excavation  I  natural land transformation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
343	('LCA', 'Excavation  respiratory effects average  CF [kg PM2.5-./m3]')	Alternative B	1.0	1.0825088224469026e-05
344	('LCA', 'Excavation  E  metal depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
345	('LCA', 'Excavation  E  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
346	('LCA', 'Excavation  I  human toxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
347	('LCA', 'Excavation  E  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
348	('LCA', 'Excavation  H  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
349	('LCA', 'Excavation  I  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
350	('LCA', 'Excavation  I  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
351	('LCA', 'Excavation  E  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
352	('LCA', 'Excavation  I  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
353	('LCA', 'Excavation  H  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
354	('LCA', 'Excavation  H  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
355	('LCA', 'Excavation  I  urban land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
356	('LCA', 'Excavation  I  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
357	('LCA', 'Excavation  H  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
358	('LCA', 'Excavation  I  all  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
359	('LCA', 'Excavation  E  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
360	('LCA', 'Excavation  H  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
361	('LCA', 'Excavation  I  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
362	('LCA', 'Excavation  H  agricultural land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
363	('LCA', 'Excavation  I  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
364	('LCA', 'Excavation  I  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
365	('LCA', 'Excavation  E  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
366	('LCA', 'Excavation  H  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
367	('LCA', 'Excavation  E  natural land transformation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
368	('LCA', 'Excavation  I  marine ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
369	('LCA', 'Excavation  H  climate change human health  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
370	('LCA', 'Excavation  carcinogenics  CF [kg benzen./m3]')	Alternative B	1.0	1.0825088224469026e-05
371	('LCA', 'Excavation  H  freshwater eutrophication  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
372	('LCA', 'Excavation  global warming  CF [kg CO2-Eq/m3]')	Alternative B	0.7	0.012340600575894691
373	('LCA', 'Excavation  E  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
374	('LCA', 'Excavation  I  ionising radiation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
375	('LCA', 'Excavation  I  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
376	('LCA', 'Excavation  E  ecosystem quality  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
377	('LCA', 'Excavation  H  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
378	('LCA', 'Excavation  E  human toxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
379	('LCA', 'Excavation  I  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
380	('LCA', 'Excavation  E  agricultural land occupation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
381	('LCA', 'Excavation  I  climate change ecosystems  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
382	('LCA', 'Excavation  H  natural land transformation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
383	('LCA', 'Excavation  E  marine ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
384	('LCA', 'Excavation  E  terrestrial ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
385	('LCA', 'Excavation  acidification  CF [moles of ./m3]')	Alternative B	0.9	0.00021650176448938054
386	('LCA', 'Excavation  eutrophication  CF [kg N/m3]')	Alternative B	1.0	1.0825088224469026e-05
387	('LCA', 'Excavation  I  terrestrial acidification  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
388	('LCA', 'Excavation  E  particulate matter formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
389	('LCA', 'Excavation  H  freshwater ecotoxicity  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
390	('LCA', 'Excavation  E  photochemical oxidant formation  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
391	('LCA', 'Excavation  E  resources  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
392	('LCA', 'Excavation  H  human health  total  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
393	('LCA', 'Excavation  E  fossil depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
394	('LCA', 'Excavation  photochemical oxidation  CF [kg NOx-Eq/m3]')	Alternative B	1.0	1.0825088224469026e-05
395	('LCA', 'Excavation  E  ozone depletion  CF [points/m3]')	Alternative B	1.0	1.0825088224469026e-05
396	('LCA', 'Gravel  H  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
397	('LCA', 'Gravel  E  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
398	('LCA', 'Gravel  H  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
399	('LCA', 'Gravel  I  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
400	('LCA', 'Gravel  H  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
401	('LCA', 'Gravel  E  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
402	('LCA', 'Gravel  I  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
403	('LCA', 'Gravel  E  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
404	('LCA', 'Gravel  H  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
405	('LCA', 'Gravel  non carcinogenics  CF [kg toluen./kg]')	Alternative B	0.9	0.00021650176448938054
406	('LCA', 'Gravel  I  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
407	('LCA', 'Gravel  H  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
408	('LCA', 'Gravel  ecotoxicity  CF [kg 2,4-D-./kg]')	Alternative B	1.0	1.0825088224469026e-05
409	('LCA', 'Gravel  ozone depletion  CF [kg CFC-11./kg]')	Alternative B	1.0	1.0825088224469026e-05
410	('LCA', 'Gravel  H  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
411	('LCA', 'Gravel  I  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
412	('LCA', 'Gravel  H  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
413	('LCA', 'Gravel  H  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
414	('LCA', 'Gravel  I  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
415	('LCA', 'Gravel  respiratory effects average  CF [kg PM2.5-./kg]')	Alternative B	1.0	1.0825088224469026e-05
416	('LCA', 'Gravel  E  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
417	('LCA', 'Gravel  E  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
418	('LCA', 'Gravel  I  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
419	('LCA', 'Gravel  E  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
420	('LCA', 'Gravel  H  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
421	('LCA', 'Gravel  I  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
422	('LCA', 'Gravel  I  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
423	('LCA', 'Gravel  E  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
424	('LCA', 'Gravel  I  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
425	('LCA', 'Gravel  H  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
426	('LCA', 'Gravel  H  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
427	('LCA', 'Gravel  I  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
428	('LCA', 'Gravel  I  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
429	('LCA', 'Gravel  H  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
430	('LCA', 'Gravel  I  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
431	('LCA', 'Gravel  E  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
432	('LCA', 'Gravel  H  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
433	('LCA', 'Gravel  I  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
434	('LCA', 'Gravel  H  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
435	('LCA', 'Gravel  I  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
436	('LCA', 'Gravel  I  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
437	('LCA', 'Gravel  E  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
438	('LCA', 'Gravel  H  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
439	('LCA', 'Gravel  E  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
440	('LCA', 'Gravel  I  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
441	('LCA', 'Gravel  H  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
442	('LCA', 'Gravel  carcinogenics  CF [kg benzen./kg]')	Alternative B	1.0	1.0825088224469026e-05
443	('LCA', 'Gravel  H  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
444	('LCA', 'Gravel  global warming  CF [kg CO2-Eq/kg]')	Alternative B	1.0	1.0825088224469026e-05
445	('LCA', 'Gravel  E  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
446	('LCA', 'Gravel  I  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
447	('LCA', 'Gravel  I  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
448	('LCA', 'Gravel  E  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
449	('LCA', 'Gravel  H  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
450	('LCA', 'Gravel  E  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
451	('LCA', 'Gravel  I  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
452	('LCA', 'Gravel  E  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
453	('LCA', 'Gravel  I  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
454	('LCA', 'Gravel  H  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
455	('LCA', 'Gravel  E  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
456	('LCA', 'Gravel  E  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
457	('LCA', 'Gravel  acidification  CF [moles of ./kg]')	Alternative B	1.0	1.0825088224469026e-05
458	('LCA', 'Gravel  eutrophication  CF [kg N/kg]')	Alternative B	1.0	1.0825088224469026e-05
459	('LCA', 'Gravel  I  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
460	('LCA', 'Gravel  E  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
461	('LCA', 'Gravel  H  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
462	('LCA', 'Gravel  E  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
463	('LCA', 'Gravel  E  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
464	('LCA', 'Gravel  H  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
465	('LCA', 'Gravel  E  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
466	('LCA', 'Gravel  photochemical oxidation  CF [kg NOx-Eq/kg]')	Alternative B	1.0	1.0825088224469026e-05
467	('LCA', 'Gravel  E  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
468	('LCA', 'Plastic  H  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
469	('LCA', 'Plastic  E  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
470	('LCA', 'Plastic  H  fossil depletion  CF [points/kg]')	Alternative B	0.9	0.00021650176448938054
471	('LCA', 'Plastic  I  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
472	('LCA', 'Plastic  H  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
473	('LCA', 'Plastic  E  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
474	('LCA', 'Plastic  I  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
475	('LCA', 'Plastic  E  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
476	('LCA', 'Plastic  H  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
477	('LCA', 'Plastic  non carcinogenics  CF [kg toluen./kg]')	Alternative B	1.0	1.0825088224469026e-05
478	('LCA', 'Plastic  I  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
479	('LCA', 'Plastic  H  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
480	('LCA', 'Plastic  ecotoxicity  CF [kg 2,4-D-./kg]')	Alternative B	0.4	0.41752365281777043
481	('LCA', 'Plastic  ozone depletion  CF [kg CFC-11./kg]')	Alternative B	1.0	1.0825088224469026e-05
482	('LCA', 'Plastic  H  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
483	('LCA', 'Plastic  I  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
484	('LCA', 'Plastic  H  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
485	('LCA', 'Plastic  H  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
486	('LCA', 'Plastic  I  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
487	('LCA', 'Plastic  respiratory effects average  CF [kg PM2.5-./kg]')	Alternative B	1.0	1.0825088224469026e-05
488	('LCA', 'Plastic  E  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
489	('LCA', 'Plastic  E  all  CF [points/kg]')	Alternative B	0.7	0.012340600575894691
490	('LCA', 'Plastic  I  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
491	('LCA', 'Plastic  E  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
492	('LCA', 'Plastic  H  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
493	('LCA', 'Plastic  I  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
494	('LCA', 'Plastic  I  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
495	('LCA', 'Plastic  E  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
496	('LCA', 'Plastic  I  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
497	('LCA', 'Plastic  H  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
498	('LCA', 'Plastic  H  all  CF [points/kg]')	Alternative B	0.9	0.00021650176448938054
499	('LCA', 'Plastic  I  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
500	('LCA', 'Plastic  I  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
501	('LCA', 'Plastic  H  resources  total  CF [points/kg]')	Alternative B	0.9	0.00021650176448938054
502	('LCA', 'Plastic  I  all  CF [points/kg]')	Alternative B	0.9	0.00021650176448938054
503	('LCA', 'Plastic  E  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
504	('LCA', 'Plastic  H  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
505	('LCA', 'Plastic  I  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
506	('LCA', 'Plastic  H  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
507	('LCA', 'Plastic  I  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
508	('LCA', 'Plastic  I  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
509	('LCA', 'Plastic  E  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
