	Input x	Input y	KS-d	p-value
62	('Sludge separator-B6', 'Frac of settled P [fraction]')	Alternative B	0.9	0.00021650176448938054
63	('Sludge separator-B6', 'Frac of settled K [fraction]')	Alternative B	1.0	1.0825088224469026e-05
64	('Sludge separator-B6', 'Frac of settled mg [fraction]')	Alternative B	0.9	0.00021650176448938054
65	('Sludge separator-B6', 'Frac of settled ca [fraction]')	Alternative B	0.9	0.00021650176448938054
66	('Liquid treatment bed-B7', 'Tau [days]')	Alternative B	1.0	1.0825088224469026e-05
67	('Liquid treatment bed-B7', 'COD max decay [% of total COD]')	Alternative B	0.5	0.16782134274394334
68	('Liquid treatment bed-B7', 'N max decay [% N removal]')	Alternative B	0.7	0.012340600575894691
69	('Liquid treatment bed-B7', 'N2 O  EF decay [% of degraded N emitted as N2O]')	Alternative B	1.0	1.0825088224469026e-05
70	('Liquid treatment bed-B7', 'Bed  H [m]')	Alternative B	1.0	1.0825088224469026e-05
71	('Liquid treatment bed-B7', 'Concrete thickness [m]')	Alternative B	0.9	0.00021650176448938054
72	('Planted drying bed-B8', 'Tau [days]')	Alternative B	1.0	1.0825088224469026e-05
73	('Planted drying bed-B8', 'COD max decay [fraction of total COD]')	Alternative B	0.5	0.16782134274394334
74	('Planted drying bed-B8', 'N max decay [fraction of N removal]')	Alternative B	0.7	0.012340600575894691
75	('Planted drying bed-B8', 'N2 O  EF decay [fraction of degraded N emitted as N2O]')	Alternative B	1.0	1.0825088224469026e-05
76	('Planted drying bed-B8', 'Column  H [m]')	Alternative B	1.0	1.0825088224469026e-05
77	('Planted drying bed-B8', 'Column unit mass [kg/m]')	Alternative B	1.0	1.0825088224469026e-05
78	('Planted drying bed-B8', 'Concrete thickness [m]')	Alternative B	0.9	0.00021650176448938054
79	('Planted drying bed-B8', 'Cover slope [degrees]')	Alternative B	1.0	1.0825088224469026e-05
80	('Planted drying bed-B8', 'Cover unit mass [kg/m2]')	Alternative B	1.0	1.0825088224469026e-05
81	('Planted drying bed-B8', 'Sol frac [fraction]')	Alternative B	0.4	0.41752365281777043
82	('Planted drying bed-B8', 'Non storage bed  H [m]')	Alternative B	0.3	0.7869297884777761
83	('Planted drying bed-B8', 'Storage bed  H [m]')	Alternative B	1.0	1.0825088224469026e-05
84	('Crop application-B9', 'NH3 application loss [fraction of applied]')	Alternative B	1.0	1.0825088224469026e-05
85	('Crop application-B9', 'Other application losses [fraction of applied]')	Alternative B	1.0	1.0825088224469026e-05
86	('Biogas combustion-B14', 'Biogas loss ratio [fraction]')	Alternative B	1.0	1.0825088224469026e-05
87	('Excretion-B1', 'Exchange rate [UGX/USD]')	Alternative B	1.0	1.0825088224469026e-05
88	('Pit latrine-B2', 'Plastic density [kg/m2]')	Alternative B	0.4	0.41752365281777043
89	('Pit latrine-B2', 'Brick density [kg/m3]')	Alternative B	1.0	1.0825088224469026e-05
90	('Pit latrine-B2', 'SS sheet density [kg/m2]')	Alternative B	1.0	1.0825088224469026e-05
91	('Pit latrine-B2', 'Gravel density [kg/m3]')	Alternative B	1.0	1.0825088224469026e-05
92	('Pit latrine-B2', 'Sand density [kg/m3]')	Alternative B	1.0	1.0825088224469026e-05
93	('Pit latrine-B2', 'Steel density [kg/m3]')	Alternative B	1.0	1.0825088224469026e-05
94	('TEA', 'Price factor [-]')	Alternative B	0.9	0.00021650176448938054
95	('TEA', 'N fertilizer price [USD/kg N]')	Alternative B	1.0	1.0825088224469026e-05
96	('TEA', 'P fertilizer price [USD/kg P]')	Alternative B	1.0	1.0825088224469026e-05
97	('TEA', 'K fertilizer price [USD/kg K]')	Alternative B	1.0	1.0825088224469026e-05
98	('TEA', 'Discount rate [fraction]')	Alternative B	1.0	1.0825088224469026e-05
99	('TEA', 'Electricity price [$/kWh]')	Alternative B	1.0	1.0825088224469026e-05
100	('Pit latrine-B2', 'Pit latrine capital cost [USD]')	Alternative B	1.0	1.0825088224469026e-05
101	('Pit latrine-B2', 'Pit latrine operating cost [fraction of capital cost]')	Alternative B	1.0	1.0825088224469026e-05
102	('Lumped WWTP cost-B4', 'Plant  CAPEX [USD]')	Alternative B	1.0	1.0825088224469026e-05
103	('TEA/LCA', 'Plant lifetime [yr]')	Alternative B	1.0	1.0825088224469026e-05
104	('TEA', 'Unskilled staff num [-]')	Alternative B	0.9	0.00021650176448938054
105	('TEA', 'Unskilled staff salary [USD]')	Alternative B	0.3	0.7869297884777761
106	('TEA', 'Liquid petroleum gas price [UGX]')	Alternative B	1.0	1.0825088224469026e-05
107	('TEA/LCA', 'Liquid petroleum gas energy [MJ/kg]')	Alternative B	1.0	1.0825088224469026e-05
108	('LCA', 'Brick  H  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
109	('LCA', 'Brick  E  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
110	('LCA', 'Brick  H  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
111	('LCA', 'Brick  I  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
112	('LCA', 'Brick  H  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
113	('LCA', 'Brick  E  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
114	('LCA', 'Brick  I  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
115	('LCA', 'Brick  E  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
116	('LCA', 'Brick  H  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
117	('LCA', 'Brick  non carcinogenics  CF [kg toluen./kg]')	Alternative B	1.0	1.0825088224469026e-05
118	('LCA', 'Brick  I  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
119	('LCA', 'Brick  H  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
120	('LCA', 'Brick  ecotoxicity  CF [kg 2,4-D-./kg]')	Alternative B	0.9	0.00021650176448938054
121	('LCA', 'Brick  ozone depletion  CF [kg CFC-11./kg]')	Alternative B	1.0	1.0825088224469026e-05
122	('LCA', 'Brick  H  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
123	('LCA', 'Brick  I  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
124	('LCA', 'Brick  H  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
125	('LCA', 'Brick  H  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
126	('LCA', 'Brick  I  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
127	('LCA', 'Brick  respiratory effects average  CF [kg PM2.5-./kg]')	Alternative B	1.0	1.0825088224469026e-05
128	('LCA', 'Brick  E  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
129	('LCA', 'Brick  E  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
130	('LCA', 'Brick  I  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
131	('LCA', 'Brick  E  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
132	('LCA', 'Brick  H  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
133	('LCA', 'Brick  I  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
134	('LCA', 'Brick  I  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
135	('LCA', 'Brick  E  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
136	('LCA', 'Brick  I  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
137	('LCA', 'Brick  H  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
138	('LCA', 'Brick  H  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
139	('LCA', 'Brick  I  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
140	('LCA', 'Brick  I  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
141	('LCA', 'Brick  H  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
142	('LCA', 'Brick  I  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
143	('LCA', 'Brick  E  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
144	('LCA', 'Brick  H  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
145	('LCA', 'Brick  I  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
146	('LCA', 'Brick  H  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
147	('LCA', 'Brick  I  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
148	('LCA', 'Brick  I  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
149	('LCA', 'Brick  E  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
150	('LCA', 'Brick  H  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
151	('LCA', 'Brick  E  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
152	('LCA', 'Brick  I  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
153	('LCA', 'Brick  H  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
154	('LCA', 'Brick  carcinogenics  CF [kg benzen./kg]')	Alternative B	1.0	1.0825088224469026e-05
155	('LCA', 'Brick  H  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
156	('LCA', 'Brick  global warming  CF [kg CO2-Eq/kg]')	Alternative B	0.9	0.00021650176448938054
157	('LCA', 'Brick  E  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
