		reB-China	reB-India	reB-Senegal	reB-South Africa	reB-Uganda	reC-China	reC-India	reC-Senegal	reC-South Africa	reC-Uganda
N recovery	Total N [% N]	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	49.20771814086312	49.20771814086312	49.20771814086312	49.20771814086312	49.20771814086312	44.36109467673941	44.36109467673941	44.36109467673941	44.36109467673941	44.36109467673941
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	119.88435963941008	119.88435963941008	119.88435963941008	119.88435963941008	119.88435963941008	110.9717939829101	110.9717939829101	110.9717939829101	110.9717939829101	110.9717939829101
LCA results	H_Ecosystems [points/cap/yr]	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.15954951013091	-0.15954951013091	-0.15954951013091	-0.15954951013091	-0.15954951013091
LCA results	H_Health [points/cap/yr]	27.75543654013463	27.75543654013463	27.75543654013463	27.75543654013463	27.75543654013463	25.670740663354504	25.670740663354504	25.670740663354504	25.670740663354504	25.670740663354504
LCA results	H_Resources [points/cap/yr]	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-1.367674914352345	-1.367674914352345	-1.367674914352345	-1.367674914352345	-1.367674914352345
