,,reB_general,reB_China,reB_India,reB_Senegal,reB_South Africa,reB_Uganda,reC_general,reC_China,reC_India,reC_Senegal,reC_South Africa,reC_Uganda
N recovery,Total N [% N],71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798
P recovery,Total P [% P],91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723
K recovery,Total K [% K],17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238
TEA results,Annual net cost [USD/cap/yr],99.30363520150239,100.92455471595784,106.38120580622383,105.31646260959737,141.52649024034272,115.83196447890757,100.92907140404532,106.62911591850079,108.58039200876676,107.87159767547364,144.08162530621902,118.08210901478385
LCA results,GlobalWarming [kg CO2-eq/cap/yr],184.0760490245164,187.22380902451638,193.3476330245164,198.3268170245164,199.2425290245164,153.68585702451637,144.7732913680164,144.7732913680164,144.7732913680164,144.7732913680164,144.7732913680164,144.7732913680164
LCA results,H_Ecosystems [points/cap/yr],0.09932093772975661,0.0924533266577566,0.10848378092975662,0.12008665321775662,0.11523372300975661,0.05000337931375661,-0.04054447266485038,-0.04054447266485038,-0.04054447266485038,-0.04054447266485038,-0.04054447266485038,-0.04054447266485038
LCA results,H_Health [points/cap/yr],31.39873993961993,31.21364947680393,31.534394888867933,31.649523295155927,31.47030197393993,31.17789716149193,29.093201284711803,29.093201284711803,29.093201284711803,29.093201284711803,29.093201284711803,29.093201284711803
LCA results,H_Resources [points/cap/yr],7.529925794626499,7.491173263410501,7.6827799900505,7.8410042640345,7.835725871138501,6.6267055943385005,5.971657312971201,5.971657312971201,5.971657312971201,5.971657312971201,5.971657312971201,5.971657312971201
