		ngA	ngB
N recovery	Total N [% N]	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	88.81340972221352	89.70022905613143
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	81.8183705237561	96.71744224230873
LCA results	H_Ecosystems [points/cap/yr]	0.15255391919584685	0.19768217210979577
LCA results	H_Health [points/cap/yr]	14.511420641673432	15.386794914945241
LCA results	H_Resources [points/cap/yr]	10.303302584836576	10.881956649299429
