,T1,T2,T3,T4,T5,T6,T7,T8,T9,RR1,RR2,RR3,RR4,RR5,RR6,Env1,Env2,Env3,Econ1,S1,S2,S3,S4,S5,S6,S7,S8,S9
China,0.12553967590463516,0.028075498642399055,0.12231674517759984,0.12136229238074117,0.29115331925450866,0.11635799517915436,0.019984025481099697,0.0004666804960505162,0.1747437674838115,0.4500550671500476,0.0,0.09355573569339873,0.12324619458171626,0.11219940244550022,0.22094360012933717,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.11252451213272935,0.0013717728340147358,0.28458799214469704,0.3039917188818355,0.14229399607234852,0.15522981389710752,6.467908912379479e-08,6.467908912379479e-08,6.467908912379479e-08
India,0.0974545568762194,0.0794334785179737,0.10363010401591513,0.10520303750114189,0.19275045872816096,0.09281999961574637,0.044313935415031105,0.05026513222432305,0.23412929710548835,0.34497018618803843,0.0,0.09521055941159709,0.3176974968608973,0.145375035726083,0.09674672181338417,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1456055626768352,0.04805893599872213,0.25896900941025697,0.2766259873245926,0.12948450470512848,0.14125582331468559,5.885659304778567e-08,5.885659304778567e-08,5.885659304778567e-08
Senegal,0.12557977745380644,0.11213464002169239,0.08197748279904535,0.12193944989987641,0.22214442037027782,0.12322407007308603,0.11428453592786142,0.020806773878344703,0.07790884957600938,0.07820624660775978,0.21097267802258513,0.22382561059372472,0.24082688880249215,0.11180812675856026,0.134360449214878,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1285748203131929,0.15839977057515536,0.22900081117436746,0.24461450284534703,0.11450040558718373,0.12490953336783679,5.204563890326534e-08,5.204563890326534e-08,5.204563890326534e-08
South Africa,0.11302516551894742,0.0652466961639043,0.08438696861831331,0.10948029086632244,0.23652842717105596,0.14668793795717436,0.06327259373595419,0.0035494455118178117,0.17782247445651023,0.303229203647245,0.012454468038856482,0.0634313348864619,0.3698443481168416,0.08673370946033405,0.1643069358502611,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.41019434599702453,0.02783927692874822,0.18048551223869078,0.19279134261860148,0.09024275611934539,0.09844664303928588,4.101943459970245e-08,4.101943459970245e-08,4.101943459970245e-08
Uganda,0.11214281717146281,0.18660274150492473,0.09871013185402447,0.12028331042053932,0.22115880474657748,0.0967941095658959,0.13218477162671183,0.01954117804988407,0.012582135059979365,0.012374758976308494,0.22618271872068305,0.22684023479106283,0.22822359689687155,0.2043069442812686,0.10207174633380545,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0464661852964703,0.2037179829261016,0.24081671075697456,0.2572360319449501,0.12040835537848728,0.1313545695038043,5.4731070626585136e-08,5.4731070626585136e-08,5.4731070626585136e-08
