		reB	reC
N recovery	Total N [% N]	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	45.84503438116716	40.91720628534396
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	165.13210896098002	111.57858330448
LCA results	H_Ecosystems [points/cap/yr]	-0.09426204705525269	-0.2548931729378597
LCA results	H_Health [points/cap/yr]	31.205589741787318	28.649267731343187
LCA results	H_Resources [points/cap/yr]	-0.68096538423833	-2.5503123353016286
