		brA	brB
N recovery	Total N [% N]	37.58013076430945	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	3.7273013380632354	10.759571224922912
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	23.9342992007702	-0.6357839587585173
LCA results	H_Ecosystems [points/cap/yr]	-0.05352617880990203	0.025490267395352
LCA results	H_Health [points/cap/yr]	8.904011094123797	0.6359958464849327
LCA results	H_Resources [points/cap/yr]	-0.3815970667184619	1.6577937388618171
