		ngA	ngB
N recovery	Total N [% N]	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	129.33216271918235	129.2440314423865
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	79.52151319941417	94.67051298101973
LCA results	H_Ecosystems [points/cap/yr]	0.1478846632616429	0.19168839116443492
LCA results	H_Health [points/cap/yr]	17.221719427941906	18.048178280569125
LCA results	H_Resources [points/cap/yr]	10.3630297060462	10.940243122671598
