		sysA	sysB
Net recovery	N	62.89547303229336	42.41664905483326
Net recovery	P	36.7524697098465	28.999075211507826
Net recovery	K	21.40197844608306	18.667866623224803
Net recovery	energy	0.0	0.0
LCA results	H_Ecosystems	7.565405977048674	12.823185381529145
LCA results	H_Health	0.16636230423001735	0.17728650518536465
LCA results	H_Resources	10.459417893840303	8.354438595938934
TEA results	Net cost	68.94312721395897	66.57035186741219
