,,brA_general,brA_BeijingChina,brB_general,brB_BeijingChina,ngA_general,ngA_BeijingChina,ngB_general,ngB_BeijingChina,reB_general,reB_BeijingChina,reC_general,reC_BeijingChina
N recovery,Total N [% N],37.58013076430945,37.58013076430945,70.23384100683967,70.23384100683967,45.933435937766234,45.933435937766234,45.933435937766234,45.933435937766234,71.44512899511798,71.44512899511798,71.44512899511798,71.44512899511798
P recovery,Total P [% P],64.68979999999998,64.68979999999998,47.374161917555234,47.374161917555234,27.8335508740337,27.8335508740337,27.8335508740337,27.8335508740337,91.79485817690723,91.79485817690723,91.79485817690723,91.79485817690723
K recovery,Total K [% K],67.35540000000003,67.35540000000003,72.52000000000002,72.52000000000002,10.905618363004582,10.905618363004582,10.905618363004582,10.905618363004582,17.948581769072238,17.948581769072238,17.948581769072238,17.948581769072238
TEA results,Annual net cost [USD/cap/yr],7.357629226956581,10.893327206283589,15.977424207868154,20.106625180900053,44.95754432728303,49.24347227027961,42.11942417995597,46.39361737295255,64.18264498702496,66.00647794288396,69.38876507385791,71.45707198805023
LCA results,GlobalWarming [kg CO2-eq/cap/yr],25.458529234309516,27.670540242884183,3.1302450590472133,6.397418174081368,66.25636121228737,67.60540121228738,77.26592744957875,79.47409516632321,170.13603594971946,174.17311844971948,130.83327829321945,131.72260079321947
LCA results,H_Ecosystems [points/cap/yr],-0.01583697290635821,-0.0027977428226403744,0.03722607753683143,0.053316452781868674,0.10599036155969521,0.10304709967169522,0.14545096454678494,0.1406333046679037,0.08952974487532096,0.08072185848132095,-0.050335665519286026,-0.05227594084128604
LCA results,H_Health [points/cap/yr],8.683070233730625,8.790051317979424,0.4137006143253822,0.5576930545286163,11.088755564711896,11.009431080647897,11.895682773519086,11.765840986131364,27.602710049190524,27.365326808933524,25.297171394282394,25.244878616841397
LCA results,H_Resources [points/cap/yr],-0.2256819018267219,-0.17777354920599245,1.2400037245722022,1.333645347523391,2.800414583156016,2.7838063554920156,3.294165054222023,3.2669799802731507,3.844619089823856,3.794917979954357,2.2863506081685574,2.2754020295150577
