		brA-China	brA-India	brA-Senegal	brA-South Africa	brA-Uganda	brB-China	brB-India	brB-Senegal	brB-South Africa	brB-Uganda	ngA-China	ngA-India	ngA-Senegal	ngA-South Africa	ngA-Uganda	ngB-China	ngB-India	ngB-Senegal	ngB-South Africa	ngB-Uganda	reB-China	reB-India	reB-Senegal	reB-South Africa	reB-Uganda	reC-China	reC-India	reC-Senegal	reC-South Africa	reC-Uganda
N recovery	Total N [% N]	37.58013076430945	37.58013076430945	37.58013076430945	37.58013076430945	37.58013076430945	70.23384100683967	70.23384100683967	70.23384100683967	70.23384100683967	70.23384100683967	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	64.68979999999998	64.68979999999998	64.68979999999998	64.68979999999998	64.68979999999998	47.374161917555234	47.374161917555234	47.374161917555234	47.374161917555234	47.374161917555234	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	67.35540000000003	67.35540000000003	67.35540000000003	67.35540000000003	67.35540000000003	72.52000000000002	72.52000000000002	72.52000000000002	72.52000000000002	72.52000000000002	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	4.831246561009728	4.834316390918393	4.834614070287781	4.834614070287781	4.834614070287781	11.464923145088333	11.464909950526074	11.464908733676618	11.464908733676618	11.464908733676618	120.14677140462895	120.14677140462895	120.14677140462895	120.14677140462895	120.14677140462895	121.26044071735424	121.26044071735424	121.26044071735424	121.26044071735424	121.26044071735424	49.20771814086312	49.20771814086312	49.20771814086312	49.20771814086312	49.20771814086312	44.36109467673942	44.36109467673942	44.36109467673942	44.36109467673942	44.36109467673942
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	28.136201397735665	28.123698046038733	28.12371240212261	28.12371240212261	28.12371240212261	5.114372166993918	5.111539052835485	5.111538990034843	5.111538990034843	5.111538990034843	79.35605060300762	79.35605060300762	79.35605060300762	79.35605060300762	79.35605060300762	82.07112924772983	82.07112924772983	82.07112924772983	82.07112924772983	82.07112924772983	119.88435963941008	119.88435963941008	119.88435963941008	119.88435963941008	119.88435963941008	110.9717939829101	110.9717939829101	110.9717939829101	110.9717939829101	110.9717939829101
LCA results	H_Ecosystems [points/cap/yr]	-0.005905879940611454	-0.005911060965214415	-0.005910916986785209	-0.005910916986785209	-0.005910916986785209	0.05042505245288814	0.05042483309506461	0.05042483246523144	0.05042483246523144	0.05042483246523144	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.22460771694843626	0.22460771694843626	0.22460771694843626	0.22460771694843626	0.22460771694843626	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.06900165815230302	-0.15954951013091	-0.15954951013091	-0.15954951013091	-0.15954951013091	-0.15954951013091
LCA results	H_Health [points/cap/yr]	9.463010363508298	9.458023296127386	9.45802663374335	9.45802663374335	9.45802663374335	0.5604860742474395	0.5593395445640027	0.5593395299636125	0.5593395299636125	0.5593395299636125	11.66101583143958	11.66101583143958	11.66101583143958	11.66101583143958	11.66101583143958	12.407667748695756	12.407667748695756	12.407667748695756	12.407667748695756	12.407667748695756	27.75543654013463	27.75543654013463	27.75543654013463	27.75543654013463	27.75543654013463	25.670740663354504	25.670740663354504	25.670740663354504	25.670740663354504	25.670740663354504
LCA results	H_Resources [points/cap/yr]	-0.2157152530916655	-0.21574689038401604	-0.21574580294235446	-0.21574580294235446	-0.21574580294235446	1.3166256015249356	1.316625702318043	1.316625697561033	1.316625697561033	1.316625697561033	9.936299361821616	9.936299361821616	9.936299361821616	9.936299361821616	9.936299361821616	10.183531194747836	10.183531194747836	10.183531194747836	10.183531194747836	10.183531194747836	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-0.7126266329850456	-1.367674914352345	-1.367674914352345	-1.367674914352345	-1.367674914352345	-1.367674914352345
