		ngA	ngB
N recovery	Total N [% N]	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	105.05002836366607	106.20267542639137
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	74.50121195264663	77.21629059736883
LCA results	H_Ecosystems [points/cap/yr]	0.19683526677068272	0.2228354784454267
LCA results	H_Health [points/cap/yr]	13.589641880244962	14.336293797501142
LCA results	H_Resources [points/cap/yr]	10.540503805543931	10.787735638470151
