		reB	reC
N recovery	Total N [% N]	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	45.10733323157077	39.44867330911374
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	108.82251481710577	99.90994916060578
LCA results	H_Ecosystems [points/cap/yr]	-0.08926083198925423	-0.17980868396786123
LCA results	H_Health [points/cap/yr]	26.516595002654356	24.431899125874224
LCA results	H_Resources [points/cap/yr]	-0.6988609178223218	-1.3539091991896213
