		reB	reC
N recovery	Total N [% N]	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	43.64181787588141	42.0573318639631
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	180.13082167208995	125.66158401558997
LCA results	H_Ecosystems [points/cap/yr]	-0.2133307571500109	-0.3691089528246179
LCA results	H_Health [points/cap/yr]	38.75494255439769	36.37784186516956
LCA results	H_Resources [points/cap/yr]	-1.51475396172059	-3.378822519887889
