		sysA	sysB
Net recovery	N	63.403900957777495	43.30643100985263
Net recovery	P	37.95751478175119	30.337555816434914
Net recovery	K	22.89949397120312	20.201106977578622
Net recovery	energy	0.0	0.0
LCA results	H_Ecosystems	7.675543111768918	12.363615901398674
LCA results	H_Health	0.23424360090262672	0.231871256804194
LCA results	H_Resources	11.920196762235786	9.636919731547863
TEA results	Net cost	86.10648889151037	82.78531826298155
