		brA-China	brA-India	brA-Senegal	brA-South Africa	brA-Uganda	brB-China	brB-India	brB-Senegal	brB-South Africa	brB-Uganda
N recovery	Total N [% N]	37.58013076430945	37.58013076430945	37.58013076430945	37.58013076430945	37.58013076430945	70.23384100683967	70.23384100683967	70.23384100683967	70.23384100683967	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	64.68979999999998	64.68979999999998	64.68979999999998	64.68979999999998	47.374161917555234	47.374161917555234	47.374161917555234	47.374161917555234	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	67.35540000000003	67.35540000000003	67.35540000000003	67.35540000000003	72.52000000000002	72.52000000000002	72.52000000000002	72.52000000000002	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	4.831246561009728	4.834316390918393	4.83461407028778	4.83461407028778	4.83461407028778	11.464923145088331	11.464909950526078	11.464908733676618	11.464908733676618	11.464908733676618
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	28.136201397735665	28.123698046038733	28.12371240212261	28.12371240212261	28.12371240212261	5.114372166993918	5.111539052835485	5.111538990034843	5.111538990034843	5.111538990034843
LCA results	H_Ecosystems [points/cap/yr]	-0.005905879940611454	-0.005911060965214415	-0.005910916986785209	-0.005910916986785209	-0.005910916986785209	0.05042505245288814	0.05042483309506461	0.05042483246523144	0.05042483246523144	0.05042483246523144
LCA results	H_Health [points/cap/yr]	9.463010363508298	9.458023296127386	9.45802663374335	9.45802663374335	9.45802663374335	0.5604860742474395	0.5593395445640027	0.5593395299636125	0.5593395299636125	0.5593395299636125
LCA results	H_Resources [points/cap/yr]	-0.2157152530916655	-0.21574689038401604	-0.21574580294235446	-0.21574580294235446	-0.21574580294235446	1.3166256015249356	1.316625702318043	1.316625697561033	1.316625697561033	1.316625697561033
