,,brA_general,brA_China,brA_India,brA_Senegal,brA_South Africa,brA_Uganda,brB_general,brB_China,brB_India,brB_Senegal,brB_South Africa,brB_Uganda
N recovery,Total N [% N],37.58013076430945,37.58013076430945,37.58013076430945,37.58013076430945,37.58013076430945,37.58013076430945,70.23384100683967,70.23384100683967,70.23384100683967,70.23384100683967,70.23384100683967,70.23384100683967
P recovery,Total P [% P],64.68979999999998,64.68979999999998,64.68979999999998,64.68979999999998,64.68979999999998,64.68979999999998,47.374161917555234,47.374161917555234,47.374161917555234,47.374161917555234,47.374161917555234,47.374161917555234
K recovery,Total K [% K],67.35540000000003,67.35540000000003,67.35540000000003,67.35540000000003,67.35540000000003,67.35540000000003,72.52000000000002,72.52000000000002,72.52000000000002,72.52000000000002,72.52000000000002,72.52000000000002
TEA results,Annual net cost [USD/cap/yr],6.0692157360872745,8.83867526838488,3.97196999049375,3.665868756367395,5.358093626318618,4.028049185558961,12.650815362784167,15.678578075806639,10.395308285579931,9.859241965955782,12.186471396328526,10.451573287526776
LCA results,GlobalWarming [kg CO2-eq/cap/yr],28.155250671861747,30.38121018137917,27.170175527251676,25.057932486555877,30.76262715225167,25.91153597555265,2.052100332116403,5.321364318721289,0.44481491373120374,-2.777697864569349,5.703655233291082,-0.8167452935988828
LCA results,H_Ecosystems [points/cap/yr],-0.025521157291050003,-0.012471807648696277,-0.03319268731807795,-0.046977564638536674,-0.011748852585530415,-0.03504852318566848,0.03675678909535457,0.05284912025805104,0.02726172259049219,0.010232590597988273,0.053573718027244886,0.02540158028149857
LCA results,H_Health [points/cap/yr],10.009823039288648,10.122222836132682,9.941844658926994,9.81845993239532,10.13036808634703,9.930531445424748,0.5431863731502797,0.6883977693638201,0.4565535490401373,0.29885123228069777,0.6965613589805033,0.4452140833827958
LCA results,H_Resources [points/cap/yr],-0.29582220256613134,-0.2478232842837991,-0.32052764068403505,-0.3680300129677374,-0.23688873851796188,-0.3540414451082184,1.423716451343169,1.5173676207459643,1.3716482169727091,1.275471661181395,1.5283271344186504,1.3380566442299648
