		ngA	ngB
N recovery	Total N [% N]	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	89.7369643627466	89.51768905058704
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	78.50053848769495	92.04062636339727
LCA results	H_Ecosystems [points/cap/yr]	0.16468505107984768	0.20664649674786076
LCA results	H_Health [points/cap/yr]	13.486413112342122	14.33036503930207
LCA results	H_Resources [points/cap/yr]	10.093056154999429	10.628525586821477
