		ngA	ngB
N recovery	Total N [% N]	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	76.96132652799402	75.23929772524636
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	82.11252522146069	93.98121917549652
LCA results	H_Ecosystems [points/cap/yr]	0.1541094396941573	0.19169564469036576
LCA results	H_Health [points/cap/yr]	14.582149706400934	15.3385596118844
LCA results	H_Resources [points/cap/yr]	8.960957624518487	9.444131249299623
