		brA	brB
N recovery	Total N [% N]	37.58013076430945	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	11.330516574600603	23.897613728066474
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	34.51046288869073	0.2161694489780457
LCA results	H_Ecosystems [points/cap/yr]	-0.05414812423151939	0.042611859466956586
LCA results	H_Health [points/cap/yr]	12.857945853644866	1.0415768737012547
LCA results	H_Resources [points/cap/yr]	-0.5452181918842033	2.1939104408183825
