,Albania,Armenia,Austria,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Botswana,Bulgaria,Cambodia,Cameroon,Chile,China,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Guyana,Honduras,Hungary,India,Israel,Italy,Jordan,Kazakhstan,Kenya,South Korea,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Mauritius,Moldova,Mongolia,Montenegro,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saudi Arabia,Slovakia,Slovenia,Spain,Sri Lanka,Sweden,Switzerland,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,WorstECON,BestECON,WorstENV,BestENV,BeijingChina,South Africa,Senegal
facility_manager_wages,4.185375,1.587625,23.6139375,1.622875,11.7038125,5.0680625,32.7271875,5.0625,3.26425,3.807375,6.2460625,2.6105,8.0785,8.5701875,6.018625,12.54775,16.49125,12.042625,43.176625,2.1221875,3.574625,1.2588125,2.8424375,11.9645,27.3413125,30.071875,4.204875,39.7698125,3.631,6.7225625,4.023,2.8345,1.979875,10.2816875,2.1026875,25.036125,15.334,3.576375,5.1823125,2.3455,26.1223125,1.8815625,9.694375,7.4298125,12.602,52.012875,5.8865,3.910875,3.49925,3.661875,4.582875,26.3795625,27.464375,1.895,39.9194375,1.519375,3.2128125,10.566125,7.852625,9.7888125,6.4318125,2.4160625,14.9801875,11.1108125,14.7980625,17.2566875,1.4991875,29.9256875,58.8279375,2.38675,4.772625,5.619875,1.6025625,3.8516875,26.4263125,37.91225,6.0186875,58.8279375,0.692625,58.8279375,0.692625,6.018625,3.122466346,3.122466346
biomass_controls_wages,4.185375,1.587625,23.6139375,1.622875,11.7038125,5.0680625,32.7271875,5.0625,3.26425,3.807375,6.2460625,2.6105,8.0785,8.5701875,6.018625,12.54775,16.49125,12.042625,43.176625,2.1221875,3.574625,1.2588125,2.8424375,11.9645,27.3413125,30.071875,4.204875,39.7698125,3.631,6.7225625,4.023,2.8345,1.979875,10.2816875,2.1026875,25.036125,15.334,3.576375,5.1823125,2.3455,26.1223125,1.8815625,9.694375,7.4298125,12.602,52.012875,5.8865,3.910875,3.49925,3.661875,4.582875,26.3795625,27.464375,1.895,39.9194375,1.519375,3.2128125,10.566125,7.852625,9.7888125,6.4318125,2.4160625,14.9801875,11.1108125,14.7980625,17.2566875,1.4991875,29.9256875,58.8279375,2.38675,4.772625,5.619875,1.6025625,3.8516875,26.4263125,37.91225,6.0186875,58.8279375,0.692625,58.8279375,0.692625,6.018625,3.122466346,3.122466346
e_cal,3360,2997,3695,2563,2956,3270,3769,2775,2412,2342,2854,2492,2733,3029,3191,3074,3019,3277,3401,2892,2606,3292,2696,3247,3343,3502,2835,3554,3035,3382,2551,2913,2673,3316,2533,3528,3503,2732,3067,2197,3420,2729,3229,2857,3411,3465,2845,3051,2383,2579,3500,3297,3191,2572,3371,2486,2662,3537,3480,3581,3345,2188,3307,2871,3191,3322,2737,3184,3354,2373,2804,3711,1981,3102,3344,3782,3202,1786,3885,3885,1786,3191,2899,2545
p_anim,61.75,45.34,65.83,12.56,51.02,52.2,58.58,30.82,35.46,28.02,41.96,19.02,11.26,49.6,40,55.7,45.6,52.83,79.73,33.48,30.73,26.42,26.91,65.42,75.43,64.45,31.24,64.03,15.37,60.07,21.75,35.54,21.94,51.23,15,74.69,56.94,23.22,54.7,14.92,51.73,33.91,63.08,22.47,78.85,67.47,43.18,41.21,30.27,56.85,70.27,69.81,51.57,7.34,67.91,26.49,26.32,57.93,74.37,53.58,55.59,8.32,32.74,37.41,51.23,66.73,17.74,67.55,59.86,12.14,27.06,39.5,12.25,38.26,57.96,73.48,46.22,6.55,104.98,104.98,6.55,40,36.03,13.69
p_veg,54,49.02,43.29,48.17,37.67,39.75,41.29,41.11,37.78,37.87,41.3,46.93,60.63,42.04,60.63,34.9,46.07,34.15,37.35,32.82,35.24,71.1,50.12,39.96,42.57,43.8,45.53,41.37,46.23,48.09,47.24,50.97,41.01,38.41,48.35,52.26,49.62,45.99,36.79,46.83,48.45,50.5,39.64,46.68,47.8,41.18,34.28,47.72,31.37,30.47,44.26,36.88,42.44,51.28,45.52,40.51,36.22,47.66,42.58,55.66,45.81,50.8,54.2,33.16,45.16,40.82,47.48,38.01,35.61,46.79,36.3,71.18,34.69,48.18,45.96,40.27,40.28,24.81,73.29,73.29,24.81,60.63,48.33,48.67
food_waste_ratio,17,17,17,3,6,17,17,6,6,2,17,3,2,6,15,17,17,17,17,6,6,9,6,17,17,17,17,17,2,17,6,6,6,17,3,9,17,9,9,2,15,9,17,9,17,17,3,2,17,9,17,17,22,2,17,3,3,17,17,17,17,2,9,17,17,17,3,17,17,2,3,9,2,17,17,22,6,0.22,0.02,0.02,0.22,0.15,0.02,0.02
price_ratio,0.365452426,0.324221185,0.829846304,0.373832728,1.111283433,0.333213784,0.823813455,0.658291998,0.389884968,0.429118259,0.388278973,0.358524,0.396336835,0.551674301,0.609730261,0.479785407,0.661677847,0.530400942,0.969083999,0.430738447,0.520580052,0.245787461,0.456906579,0.593286786,0.917459737,0.794108199,0.300064028,0.807317999,0.389606668,0.602421698,0.512210875,0.483818962,0.430482877,0.478512809,0.300090326,1.016184377,0.726735984,0.418889449,0.356586545,0.401759437,0.723592982,0.23869813,0.539929273,0.499074062,0.489847342,0.920652478,0.385358794,0.464746489,0.330485179,0.337420186,0.370651105,0.853900452,0.927333278,0.415804428,1.077332727,0.26228844,0.374644148,0.446250977,0.613212313,0.387509141,0.383451621,0.352637159,0.471852301,0.574840086,0.611488323,0.680531913,0.282135877,0.911408624,1.13288521,0.403909631,0.404979208,0.324406661,0.347744601,0.27352791,0.847762008,1,0.719075627,1.370785956,0.174,1.370785956,0.174,0.61,0.46,0.408
household_size,3.3,3.54,2.27,4.47,2.85,2.48,2.36,4.3,3.53,3.52,2.34,4.61,4.99,3.58,3.38,2.8,2.75,2.4,2.1,3.48,3.78,4.13,4.07,2.3,2.07,2.22,3.34,2.05,3.49,2.44,4.81,3.8,4.47,2.6,4.57,3.14,2.4,4.72,3.5,3.64,2.53,4.21,2.58,3.8,2.32,2.41,4.56,3.48,2.89,4.32,3.21,2.23,2.67,4.9,2.22,6.8,4.23,2.81,2.66,2.88,2.58,4.26,5.6,2.8,2.47,2.69,3.8,2.2,2.21,4.85,3.69,4.07,4.53,2.46,2.27,2.49,2.78,2,9,2,9,3,3,9
N_fertilizer_price,,,,0.382608696,,,,,,,,,,,0.938888141,,,,,,,,,,,,,,1.739130435,,,,,,0.158446749,,,,,1.65,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,1.17,,,1.79,,,,,0.158,3.283,0.158,3.283,0.57,0.807,1.4
P_fertilizer_price,,,,2.549784478,,,,,,,,,,,1.743514127,,,,,,,,,,,,,,,,,,,,0.567104405,,,,,3.67383334,,,,,,,,,,,,,,2.496712231,,,,,,,,15.24447572,,,,,,,,9.349220898,,,3.965249273,,,,,0.567,15.244,0.567,15.244,3.31,5.062,14.049
K_fertilizer_price,,,,0.314616352,,,,,,,,,,,1.118892386,,,,,,,,,,,,,,,,,,,,0.444586022,,,,,1.632534233,,,,,,,,,,,,,,1.26751797,,,,,,,,,,,,,,,,1.267718749,,,1.328755572,,,,,0.315,2.56,0.315,2.56,0.67,0.872,1.506
NH3_fertilizer_price,,,,0.315089514,,,,,,,,,,,0.773201999,,,,,,,,,,,,,,1.432225064,,,,,,0.130485558,,,,,1.358823529,,,,,,,,,,,,,,1.350588235,,,,,,,,,,,,,,,,0.963529412,,,1.474117647,,,,,0.130117647,2.703647059,0.130117647,2.703647059,0.469411765,0.664588235,1.152941176
struvite_fertilizer_price,,,,0.322625791,,,,,,,,,,,0.22060791,,,,,,,,,,,,,,,,,,,,0.071756068,,,,,0.464852382,,,,,,,,,,,,,,0.315910527,,,,,,,,1.928892846,,,,,,,,1.182962644,,,0.501725418,,,,,0.071742857,1.928832653,0.071742857,1.928832653,0.418816327,0.640497959,1.777628571
LPG_price,1.28772,1.1564,2.4304,2.156,4.354,0.83104,1.47392,3.28,0.3,1.53,1.1858,0.96236,0.796,1.34064,0.954375,1.60328,1.258,1.3034,4.018,1.1564,0.1,0.31,0.39,1.65816,4.0768,2.02272,1.01724,1.65032,0.97,1.99332,1.33,1.97,1.1074,1.7934,1.48764,1.96,1.61112,0.788,0.5488,2.08,1.64248,0.72716,1.52292,1.11916,1.49744,1.519,0.418,0.25,1.3034,1.3328,1.6856,1.74832,1.5876,1.77,2.548,2.66,1.21324,1.35632,1.69932,1.22304,0.9016,1.21,0.392,1.54252,1.68168,1.77968,4.87,2.68128,2.13248,1.32,0.655,1.17796,1.7,1.2838,1.79536,1.54252,1.43,2.68128,0.13132,2.68128,0.13132,1.39,2.257,1.422
