		reB	reC
N recovery	Total N [% N]	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	38.78385245844844	38.357715589951006
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	168.41865476111803	119.84431310461805
LCA results	H_Ecosystems [points/cap/yr]	-0.1170540573207338	-0.2660823109153408
LCA results	H_Health [points/cap/yr]	37.04307253952398	34.60187893536785
LCA results	H_Resources [points/cap/yr]	-0.7770502659579601	-2.488172943037259
