		ngA-China	ngA-India	ngA-Senegal	ngA-South Africa	ngA-Uganda	ngB-China	ngB-India	ngB-Senegal	ngB-South Africa	ngB-Uganda
N recovery	Total N [% N]	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487	52.52415192233487
P recovery	Total P [% P]	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895	37.331992674069895
K recovery	Total K [% K]	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396	22.63208972107396
TEA results	Annual net cost [USD/cap/yr]	120.14677140462898	120.14677140462898	120.14677140462898	120.14677140462898	120.14677140462898	121.26044071735424	121.26044071735424	121.26044071735424	121.26044071735424	121.26044071735424
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	79.35605060300762	79.35605060300762	79.35605060300762	79.35605060300762	79.35605060300762	82.07112924772983	82.07112924772983	82.07112924772983	82.07112924772983	82.07112924772983
LCA results	H_Ecosystems [points/cap/yr]	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.19860750527369223	0.22460771694843626	0.22460771694843626	0.22460771694843626	0.22460771694843626	0.22460771694843626
LCA results	H_Health [points/cap/yr]	11.66101583143958	11.66101583143958	11.66101583143958	11.66101583143958	11.66101583143958	12.407667748695756	12.407667748695756	12.407667748695756	12.407667748695756	12.407667748695756
LCA results	H_Resources [points/cap/yr]	9.936299361821616	9.936299361821616	9.936299361821616	9.936299361821616	9.936299361821616	10.183531194747836	10.183531194747836	10.183531194747836	10.183531194747836	10.183531194747836
