,,ngA_general,ngA_China,ngA_India,ngA_Senegal,ngA_South Africa,ngA_Uganda,ngB_general,ngB_China,ngB_India,ngB_Senegal,ngB_South Africa,ngB_Uganda
N recovery,Total N [% N],52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487,52.52415192233487
P recovery,Total P [% P],37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895,37.331992674069895
K recovery,Total K [% K],22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396,22.63208972107396
TEA results,Annual net cost [USD/cap/yr],91.13558235812239,144.4029519499072,107.2160301809578,109.71395270612908,153.8255505853561,118.99353096131912,90.34229518218746,143.41386677397225,106.39520300502284,108.87603998475416,152.98763786398115,118.1702577853842
LCA results,GlobalWarming [kg CO2-eq/cap/yr],80.05699310538509,80.05699310538509,80.05699310538509,80.05699310538509,80.05699310538509,80.05699310538509,91.06655934267647,91.92568705942092,93.5970809810874,94.95606482393772,95.20599288699066,82.7720717501073
LCA results,H_Ecosystems [points/cap/yr],0.1915576676551664,0.1915576676551664,0.1915576676551664,0.1915576676551664,0.1915576676551664,0.1915576676551664,0.23101827064225613,0.2291438726513749,0.2335191133231795,0.23668592056911536,0.23536139555795846,0.21755787932991044
LCA results,H_Health [points/cap/yr],12.220394511143459,12.220394511143459,12.220394511143459,12.220394511143459,12.220394511143459,12.220394511143459,13.027321719950649,12.976804416626925,13.064346438103405,13.09576878441527,13.046853363770676,12.967046428399637
LCA results,H_Resources [points/cap/yr],9.78034786328576,9.78034786328576,9.78034786328576,9.78034786328576,9.78034786328576,9.78034786328576,10.274098334351768,10.263521488066894,10.315817295107806,10.359001927748611,10.35756127991116,10.02757969621198
