		brA	brB
N recovery	Total N [% N]	37.58013076430945	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	6.928906749433168	18.539408163163053
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	34.71516441400078	1.261180761716316
LCA results	H_Ecosystems [points/cap/yr]	-0.030757238368213247	0.04621276471029094
LCA results	H_Health [points/cap/yr]	12.79114109804263	1.0101367462103794
LCA results	H_Resources [points/cap/yr]	-0.46160482361235883	2.0894478211714276
