		reB	reC
N recovery	Total N [% N]	71.44512899511798	71.44512899511798
P recovery	Total P [% P]	91.79485817690723	91.79485817690723
K recovery	Total K [% K]	17.948581769072238	17.948581769072238
TEA results	Annual net cost [USD/cap/yr]	43.728316466755295	47.80534251192157
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	166.9653993086945	124.51488165219449
LCA results	H_Ecosystems [points/cap/yr]	-0.23441641213503706	-0.3674142114576441
LCA results	H_Health [points/cap/yr]	35.52752295372058	33.407074761628444
LCA results	H_Resources [points/cap/yr]	-1.9435282304231016	-3.4630441808624
