		brA	brB
N recovery	Total N [% N]	37.58013076430945	70.23384100683967
P recovery	Total P [% P]	64.68979999999998	47.374161917555234
K recovery	Total K [% K]	67.35540000000003	72.52000000000002
TEA results	Annual net cost [USD/cap/yr]	4.1836104828492555	10.109796114411001
LCA results	GlobalWarming [kg CO2-eq/cap/yr]	22.912737861885834	-4.98355439088261
LCA results	H_Ecosystems [points/cap/yr]	-0.07189379927679933	0.0034483890164326296
LCA results	H_Health [points/cap/yr]	9.928015100035697	0.44307193450396753
LCA results	H_Resources [points/cap/yr]	-0.4230542202482895	1.5480581941294258
